epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.0693,0.3838,1.1223,0.1961,0.1093
2,0.9812,0.3444,1.0178,0.2353,0.1472
3,0.9659,0.4461,0.8339,0.598,0.4098
4,0.932,0.4834,0.7876,0.5294,0.4764
5,0.9149,0.39,0.9617,0.3137,0.3587
6,0.8982,0.4232,0.8556,0.3137,0.3648
7,0.922,0.4502,1.0721,0.549,0.2409
8,0.9291,0.4481,0.7932,0.4314,0.4093
9,0.8853,0.444,0.8112,0.3824,0.4228
10,0.8714,0.5207,0.892,0.598,0.4849
11,0.8647,0.5581,0.7564,0.6569,0.5401
12,0.875,0.4108,0.7547,0.6569,0.5556
13,0.8548,0.529,0.8011,0.6961,0.5861
14,0.8329,0.5311,0.8445,0.5294,0.4703
15,0.8306,0.5145,0.7978,0.5588,0.5015
16,0.8448,0.5,0.7805,0.4608,0.4471
17,0.8123,0.5187,0.8,0.5686,0.5033
18,0.8422,0.4212,0.7595,0.6275,0.5444
19,0.8476,0.4772,1.0451,0.549,0.2782
20,0.838,0.5747,0.7695,0.451,0.4266
21,0.7751,0.5788,0.7472,0.5392,0.4873
