score_index,latent_row,window_id,structure_id,structure_type,center_distance_bp
55,55,WT_rep1__scan_0055000,OPCID_1,OPCID,200
91,91,WT_rep1__scan_0091000,OPCID_2,OPCID,455
108,108,WT_rep1__scan_0108000,OPCID_3,OPCID,440
126,126,WT_rep1__scan_0126000,OPCID_4,OPCID,320
183,183,WT_rep1__scan_0183000,OPCID_5,OPCID,415
193,193,WT_rep1__scan_0193000,OPCID_6,OPCID,340
197,197,WT_rep1__scan_0197000,OPCID_7,OPCID,395
201,201,WT_rep1__scan_0201000,OPCID_8,OPCID,390
246,246,WT_rep1__scan_0246000,OPCID_9,OPCID,75
323,323,WT_rep1__scan_0323000,OPCID_10,OPCID,245
434,434,WT_rep1__scan_0434000,OPCID_11,OPCID,265
631,631,WT_rep1__scan_0631000,OPCID_12,OPCID,360
704,704,WT_rep1__scan_0704000,OPCID_13,OPCID,10
764,764,WT_rep1__scan_0764000,OPCID_14,OPCID,65
773,773,WT_rep1__scan_0773000,OPCID_15,OPCID,90
937,937,WT_rep1__scan_0937000,OPCID_16,OPCID,450
953,953,WT_rep1__scan_0953000,OPCID_17,OPCID,235
963,963,WT_rep1__scan_0963000,OPCID_18,OPCID,165
1143,1143,WT_rep1__scan_1143000,OPCID_19,OPCID,215
1189,1189,WT_rep1__scan_1189000,OPCID_20,OPCID,365
1225,1225,WT_rep1__scan_1225000,OPCID_21,OPCID,115
1249,1249,WT_rep1__scan_1249000,OPCID_22,OPCID,435
1303,1303,WT_rep1__scan_1303000,OPCID_23,OPCID,45
1340,1340,WT_rep1__scan_1340000,OPCID_24,OPCID,125
1354,1354,WT_rep1__scan_1354000,OPCID_25,OPCID,100
1667,1667,WT_rep1__scan_1667000,OPCID_26,OPCID,485
1701,1701,WT_rep1__scan_1701000,OPCID_27,OPCID,185
1735,1735,WT_rep1__scan_1735000,OPCID_28,OPCID,455
1744,1744,WT_rep1__scan_1744000,OPCID_29,OPCID,300
1801,1801,WT_rep1__scan_1801000,OPCID_30,OPCID,125
2143,2143,WT_rep1__scan_2143000,OPCID_31,OPCID,430
2213,2213,WT_rep1__scan_2213000,OPCID_32,OPCID,470
2261,2261,WT_rep1__scan_2261000,OPCID_33,OPCID,500
2391,2391,WT_rep1__scan_2391000,OPCID_34,OPCID,205
2395,2395,WT_rep1__scan_2395000,OPCID_35,OPCID,285
2441,2441,WT_rep1__scan_2441000,OPCID_36,OPCID,140
2531,2531,WT_rep1__scan_2531000,OPCID_37,OPCID,75
2535,2535,WT_rep1__scan_2535000,OPCID_38,OPCID,300
2544,2544,WT_rep1__scan_2544000,OPCID_39,OPCID,125
2564,2564,WT_rep1__scan_2564000,OPCID_40,OPCID,415
2640,2640,WT_rep1__scan_2640000,OPCID_41,OPCID,260
2650,2650,WT_rep1__scan_2650000,OPCID_42,OPCID,405
2663,2663,WT_rep1__scan_2663000,OPCID_43,OPCID,365
2688,2688,WT_rep1__scan_2688000,OPCID_44,OPCID,240
2709,2709,WT_rep1__scan_2709000,OPCID_45,OPCID,400
2868,2868,WT_rep1__scan_2868000,OPCID_46,OPCID,480
2920,2920,WT_rep1__scan_2920000,OPCID_47,OPCID,5
2941,2941,WT_rep1__scan_2941000,OPCID_48,OPCID,115
2967,2967,WT_rep1__scan_2967000,OPCID_49,OPCID,230
3014,3014,WT_rep1__scan_3014000,OPCID_50,OPCID,260
3042,3042,WT_rep1__scan_3042000,OPCID_51,OPCID,330
3049,3049,WT_rep1__scan_3049000,OPCID_52,OPCID,375
3274,3274,WT_rep1__scan_3274000,OPCID_53,OPCID,80
3380,3380,WT_rep1__scan_3380000,OPCID_54,OPCID,450
3444,3444,WT_rep1__scan_3444000,OPCID_55,OPCID,155
3550,3550,WT_rep1__scan_3550000,OPCID_56,OPCID,190
