gene_id,name,chrom,start,end,strand,length_bp,source_sheet,source_row,source_chrom,source_start,source_end
ade:3843964-3845730:+,ade,NC_000913.3,3843963,3845730,+,1767,Supplementary Table 1,2,MG1655,3843964,3845730
flu:2071539-2074658:+,flu,NC_000913.3,2071538,2074658,+,3120,Supplementary Table 1,3,MG1655,2071539,2074658
ydeP:1584207-1586486:-,ydeP,NC_000913.3,1584206,1586486,-,2280,Supplementary Table 1,4,MG1655,1584207,1586486
yeeR:2074779-2076311:+,yeeR,NC_000913.3,2074778,2076311,+,1533,Supplementary Table 1,5,MG1655,2074779,2076311
bcsE:3696458-3698029:+,bcsE,NC_000913.3,3696457,3698029,+,1572,Supplementary Table 1,6,MG1655,3696458,3698029
yjdA:4327135-4329363:+,yjdA,NC_000913.3,4327134,4329363,+,2229,Supplementary Table 1,7,MG1655,4327135,4329363
gadC:1568954-1570489:-,gadC,NC_000913.3,1568953,1570489,-,1536,Supplementary Table 1,8,MG1655,1568954,1570489
slp:3653961-3654527:+,slp,NC_000913.3,3653960,3654527,+,567,Supplementary Table 1,9,MG1655,3653961,3654527
yhiD:3655255-3655902:-,yhiD,NC_000913.3,3655254,3655902,-,648,Supplementary Table 1,10,MG1655,3655255,3655902
ecpA:310084-310671:-,ecpA,NC_000913.3,310083,310671,-,588,Supplementary Table 1,11,MG1655,310084,310671
yahA:332371-333459:+,yahA,NC_000913.3,332370,333459,+,1089,Supplementary Table 1,12,MG1655,332371,333459
yddB:1575247-1577619:-,yddB,NC_000913.3,1575246,1577619,-,2373,Supplementary Table 1,13,MG1655,1575247,1577619
pqqL:1572407-1575202:-,pqqL,NC_000913.3,1572406,1575202,-,2796,Supplementary Table 1,14,MG1655,1572407,1575202
gadB:1570645-1572045:-,gadB,NC_000913.3,1570644,1572045,-,1401,Supplementary Table 1,15,MG1655,1570645,1572045
hdeD:3656995-3657567:+,hdeD,NC_000913.3,3656994,3657567,+,573,Supplementary Table 1,16,MG1655,3656995,3657567
appC:1037740-1039284:+,appC,NC_000913.3,1037739,1039284,+,1545,Supplementary Table 1,17,MG1655,1037740,1039284
tdcE:3260124-3262418:-,tdcE,NC_000913.3,3260123,3262418,-,2295,Supplementary Table 1,18,MG1655,3260124,3262418
mdtJ:1673136-1673501:-,mdtJ,NC_000913.3,1673135,1673501,-,366,Supplementary Table 1,19,MG1655,1673136,1673501
ycgV:1253085-1255952:-,ycgV,NC_000913.3,1253084,1255952,-,2868,Supplementary Table 1,20,MG1655,1253085,1255952
chiA:3467160-3469853:-,chiA,NC_000913.3,3467159,3469853,-,2694,Supplementary Table 1,21,MG1655,3467160,3469853
mdtI:1672820-1673149:-,mdtI,NC_000913.3,1672819,1673149,-,330,Supplementary Table 1,22,MG1655,1672820,1673149
ydeT:1588853-1590079:-,ydeT,NC_000913.3,1588852,1590079,-,1227,Supplementary Table 1,23,MG1655,1588853,1590079
gadA:3666180-3667580:-,gadA,NC_000913.3,3666179,3667580,-,1401,Supplementary Table 1,24,MG1655,3666180,3667580
hns:1292509-1292922:-,hns,NC_000913.3,1292508,1292922,-,414,Supplementary Table 1,25,MG1655,1292509,1292922
pgaA:1089866-1092289:-,pgaA,NC_000913.3,1089865,1092289,-,2424,Supplementary Table 1,26,MG1655,1089866,1092289
pgaC:1086521-1087846:-,pgaC,NC_000913.3,1086520,1087846,-,1326,Supplementary Table 1,27,MG1655,1086521,1087846
hdeA:3656408-3656740:-,hdeA,NC_000913.3,3656407,3656740,-,333,Supplementary Table 1,28,MG1655,3656408,3656740
ydiO:1777196-1778347:+,ydiO,NC_000913.3,1777195,1778347,+,1152,Supplementary Table 1,29,MG1655,1777196,1778347
leuE:1880121-1880759:-,leuE,NC_000913.3,1880120,1880759,-,639,Supplementary Table 1,30,MG1655,1880121,1880759
ydeQ:1586820-1587734:-,ydeQ,NC_000913.3,1586819,1587734,-,915,Supplementary Table 1,31,MG1655,1586820,1587734
ydiB:1773789-1774655:+,ydiB,NC_000913.3,1773788,1774655,+,867,Supplementary Table 1,32,MG1655,1773789,1774655
psuG:2257429-2258367:-,psuG,NC_000913.3,2257428,2258367,-,939,Supplementary Table 1,33,MG1655,2257429,2258367
yjhG:4522127-4524094:-,yjhG,NC_000913.3,4522126,4524094,-,1968,Supplementary Table 1,34,MG1655,4522127,4524094
bcsG:3698214-3699893:+,bcsG,NC_000913.3,3698213,3699893,+,1680,Supplementary Table 1,35,MG1655,3698214,3699893
ppsA:1784734-1787112:-,ppsA,NC_000913.3,1784733,1787112,-,2379,Supplementary Table 1,36,MG1655,1784734,1787112
ydiF:1775587-1777182:+,ydiF,NC_000913.3,1775586,1777182,+,1596,Supplementary Table 1,37,MG1655,1775587,1777182
adiC:4335694-4337031:-,adiC,NC_000913.3,4335693,4337031,-,1338,Supplementary Table 1,38,MG1655,4335694,4337031
proV:2804815-2806017:+,proV,NC_000913.3,2804814,2806017,+,1203,Supplementary Table 1,39,MG1655,2804815,2806017
