window_id,chrom,start,end,center,length_bp,segments,sample_id,condition,replicate,known_overlap,known_structure_ids,known_types,valid_pixel_fraction,intensity_score,reconstruction_error,candidate_threshold,is_candidate,latent_row,score_rank
WT_rep1__scan_4173000,NC_000913.3,4161000,4185000,4173000,24000,"[{""start"":4161000,""end"":4185000}]",WT_rep1,WT,1,False,,,0.67266845703125,0.10370271764138926,0.06669975,0.04633597284555435,True,4173,1
WT_rep1__scan_3545000,NC_000913.3,3533000,3557000,3545000,24000,"[{""start"":3533000,""end"":3557000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.11468848198739295,0.06460748,0.04633597284555435,True,3545,2
WT_rep1__scan_3544000,NC_000913.3,3532000,3556000,3544000,24000,"[{""start"":3532000,""end"":3556000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.11263054864438227,0.06377295,0.04633597284555435,True,3544,3
WT_rep1__scan_3435000,NC_000913.3,3423000,3447000,3435000,24000,"[{""start"":3423000,""end"":3447000}]",WT_rep1,WT,1,True,OPCID_55,OPCID,0.76513671875,0.11918532735026205,0.06246671,0.04633597284555435,True,3435,4
WT_rep1__scan_1299000,NC_000913.3,1287000,1311000,1299000,24000,"[{""start"":1287000,""end"":1311000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.10500093875649148,0.059280723,0.04633597284555435,True,1299,5
WT_rep1__scan_3436000,NC_000913.3,3424000,3448000,3436000,24000,"[{""start"":3424000,""end"":3448000}]",WT_rep1,WT,1,True,OPCID_55,OPCID,0.75177001953125,0.12538948226910065,0.058858924,0.04633597284555435,True,3436,6
WT_rep1__scan_4172000,NC_000913.3,4160000,4184000,4172000,24000,"[{""start"":4160000,""end"":4184000}]",WT_rep1,WT,1,False,,,0.67254638671875,0.10114983899362003,0.057920955,0.04633597284555435,True,4172,7
WT_rep1__scan_4181000,NC_000913.3,4169000,4193000,4181000,24000,"[{""start"":4169000,""end"":4193000}]",WT_rep1,WT,1,False,,,0.79296875,0.10605173228357576,0.05779522,0.04633597284555435,True,4181,8
WT_rep1__scan_2397000,NC_000913.3,2385000,2409000,2397000,24000,"[{""start"":2385000,""end"":2409000}]",WT_rep1,WT,1,True,CHID_13;CHIN_137;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.11612291652767696,0.05751016,0.04633597284555435,True,2397,9
WT_rep1__scan_1298000,NC_000913.3,1286000,1310000,1298000,24000,"[{""start"":1286000,""end"":1310000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.10374692320849839,0.057499994,0.04633597284555435,True,1298,10
WT_rep1__scan_4174000,NC_000913.3,4162000,4186000,4174000,24000,"[{""start"":4162000,""end"":4186000}]",WT_rep1,WT,1,False,,,0.64739990234375,0.1048411470120239,0.05638894,0.04633597284555435,True,4174,11
WT_rep1__scan_2396000,NC_000913.3,2384000,2408000,2396000,24000,"[{""start"":2384000,""end"":2408000}]",WT_rep1,WT,1,True,CHID_13;CHIN_137;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.11474815537955617,0.055919204,0.04633597284555435,True,2396,12
WT_rep1__scan_4249000,NC_000913.3,4237000,4261000,4249000,24000,"[{""start"":4237000,""end"":4261000}]",WT_rep1,WT,1,True,CHIN_226;OPCID_65;CHIN_227,CHIN;OPCID,1.0,0.13069678431651535,0.05589647,0.04633597284555435,True,4249,13
WT_rep1__scan_3546000,NC_000913.3,3534000,3558000,3546000,24000,"[{""start"":3534000,""end"":3558000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.11200109201686709,0.05568524,0.04633597284555435,True,3546,14
WT_rep1__scan_3434000,NC_000913.3,3422000,3446000,3434000,24000,"[{""start"":3422000,""end"":3446000}]",WT_rep1,WT,1,True,OPCID_55,OPCID,0.73834228515625,0.11273625416117773,0.055541795,0.04633597284555435,True,3434,15
WT_rep1__scan_3268000,NC_000913.3,3256000,3280000,3268000,24000,"[{""start"":3256000,""end"":3280000}]",WT_rep1,WT,1,True,CHIN_179;CHIN_180;CHIN_181;OPCID_53,CHIN;OPCID,1.0,0.10574927182759014,0.055280678,0.04633597284555435,True,3268,16
WT_rep1__scan_2398000,NC_000913.3,2386000,2410000,2398000,24000,"[{""start"":2386000,""end"":2410000}]",WT_rep1,WT,1,True,CHID_13;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.1174747917697878,0.054895766,0.04633597284555435,True,2398,17
WT_rep1__scan_2394000,NC_000913.3,2382000,2406000,2394000,24000,"[{""start"":2382000,""end"":2406000}]",WT_rep1,WT,1,True,CHID_13;CHIN_137;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.11025382033302455,0.054375283,0.04633597284555435,True,2394,18
WT_rep1__scan_4248000,NC_000913.3,4236000,4260000,4248000,24000,"[{""start"":4236000,""end"":4260000}]",WT_rep1,WT,1,True,CHIN_226;OPCID_65;CHIN_227,CHIN;OPCID,1.0,0.13039491752369103,0.05418882,0.04633597284555435,True,4248,19
WT_rep1__scan_2395000,NC_000913.3,2383000,2407000,2395000,24000,"[{""start"":2383000,""end"":2407000}]",WT_rep1,WT,1,True,CHID_13;CHIN_137;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.11317810760642112,0.05377433,0.04633597284555435,True,2395,20
WT_rep1__scan_1296000,NC_000913.3,1284000,1308000,1296000,24000,"[{""start"":1284000,""end"":1308000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.10176321811580089,0.052814588,0.04633597284555435,True,1296,21
WT_rep1__scan_3543000,NC_000913.3,3531000,3555000,3543000,24000,"[{""start"":3531000,""end"":3555000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.10431152724201766,0.052766375,0.04633597284555435,True,3543,22
WT_rep1__scan_4176000,NC_000913.3,4164000,4188000,4176000,24000,"[{""start"":4164000,""end"":4188000}]",WT_rep1,WT,1,False,,,0.67266845703125,0.10990186783632,0.05219918,0.04633597284555435,True,4176,23
WT_rep1__scan_3564000,NC_000913.3,3552000,3576000,3564000,24000,"[{""start"":3552000,""end"":3576000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.0966832436561439,0.05201811,0.04633597284555435,True,3564,24
