window_id,chrom,start,end,split,region_id,label_name,sample_id,condition,replicate,structure_id
WT_rep1__pos_0042800_24000,NC_000913.3,42800,66800,test,276,OPCID,WT_rep1,WT,1,OPCID_1
WT_rep1__pos_0078545_24000,NC_000913.3,78545,102545,train,287,OPCID,WT_rep1,WT,1,OPCID_2
WT_rep1__pos_0095560_24000,NC_000913.3,95560,119560,train,298,OPCID,WT_rep1,WT,1,OPCID_3
WT_rep1__pos_0113680_24000,NC_000913.3,113680,137680,train,309,OPCID,WT_rep1,WT,1,OPCID_4
WT_rep1__pos_0171415_24000,NC_000913.3,171415,195415,test,320,OPCID,WT_rep1,WT,1,OPCID_5
WT_rep1__pos_0181340_24000,NC_000913.3,181340,205340,test,331,OPCID,WT_rep1,WT,1,OPCID_6
WT_rep1__pos_0184605_24000,NC_000913.3,184605,208605,test,341,OPCID,WT_rep1,WT,1,OPCID_7
WT_rep1__pos_0188610_24000,NC_000913.3,188610,212610,test,342,OPCID,WT_rep1,WT,1,OPCID_8
WT_rep1__pos_0234075_24000,NC_000913.3,234075,258075,train,343,OPCID,WT_rep1,WT,1,OPCID_9
WT_rep1__pos_0311245_24000,NC_000913.3,311245,335245,train,277,OPCID,WT_rep1,WT,1,OPCID_10
WT_rep1__pos_0422265_24000,NC_000913.3,422265,446265,train,278,OPCID,WT_rep1,WT,1,OPCID_11
WT_rep1__pos_0619360_24000,NC_000913.3,619360,643360,test,279,OPCID,WT_rep1,WT,1,OPCID_12
WT_rep1__pos_0692010_24000,NC_000913.3,692010,716010,val,280,OPCID,WT_rep1,WT,1,OPCID_13
WT_rep1__pos_0751935_24000,NC_000913.3,751935,775935,val,281,OPCID,WT_rep1,WT,1,OPCID_14
WT_rep1__pos_0760910_24000,NC_000913.3,760910,784910,val,282,OPCID,WT_rep1,WT,1,OPCID_15
WT_rep1__pos_0924550_24000,NC_000913.3,924550,948550,train,283,OPCID,WT_rep1,WT,1,OPCID_16
WT_rep1__pos_0940765_24000,NC_000913.3,940765,964765,train,284,OPCID,WT_rep1,WT,1,OPCID_17
WT_rep1__pos_0950835_24000,NC_000913.3,950835,974835,train,285,OPCID,WT_rep1,WT,1,OPCID_18
WT_rep1__pos_1130785_24000,NC_000913.3,1130785,1154785,train,286,OPCID,WT_rep1,WT,1,OPCID_19
WT_rep1__pos_1176635_24000,NC_000913.3,1176635,1200635,train,288,OPCID,WT_rep1,WT,1,OPCID_20
WT_rep1__pos_1213115_24000,NC_000913.3,1213115,1237115,train,289,OPCID,WT_rep1,WT,1,OPCID_21
WT_rep1__pos_1237435_24000,NC_000913.3,1237435,1261435,train,290,OPCID,WT_rep1,WT,1,OPCID_22
WT_rep1__pos_1291045_24000,NC_000913.3,1291045,1315045,val,291,OPCID,WT_rep1,WT,1,OPCID_23
WT_rep1__pos_1327875_24000,NC_000913.3,1327875,1351875,train,292,OPCID,WT_rep1,WT,1,OPCID_24
WT_rep1__pos_1341900_24000,NC_000913.3,1341900,1365900,train,293,OPCID,WT_rep1,WT,1,OPCID_25
WT_rep1__pos_1655485_24000,NC_000913.3,1655485,1679485,test,294,OPCID,WT_rep1,WT,1,OPCID_26
WT_rep1__pos_1688815_24000,NC_000913.3,1688815,1712815,test,295,OPCID,WT_rep1,WT,1,OPCID_27
WT_rep1__pos_1723455_24000,NC_000913.3,1723455,1747455,train,296,OPCID,WT_rep1,WT,1,OPCID_28
WT_rep1__pos_1732300_24000,NC_000913.3,1732300,1756300,train,297,OPCID,WT_rep1,WT,1,OPCID_29
WT_rep1__pos_1788875_24000,NC_000913.3,1788875,1812875,test,299,OPCID,WT_rep1,WT,1,OPCID_30
WT_rep1__pos_2131430_24000,NC_000913.3,2131430,2155430,val,300,OPCID,WT_rep1,WT,1,OPCID_31
WT_rep1__pos_2201470_24000,NC_000913.3,2201470,2225470,train,301,OPCID,WT_rep1,WT,1,OPCID_32
WT_rep1__pos_2249500_24000,NC_000913.3,2249500,2273500,train,302,OPCID,WT_rep1,WT,1,OPCID_33
WT_rep1__pos_2379205_24000,NC_000913.3,2379205,2403205,val,303,OPCID,WT_rep1,WT,1,OPCID_34
WT_rep1__pos_2383285_24000,NC_000913.3,2383285,2407285,val,304,OPCID,WT_rep1,WT,1,OPCID_35
WT_rep1__pos_2429140_24000,NC_000913.3,2429140,2453140,train,305,OPCID,WT_rep1,WT,1,OPCID_36
WT_rep1__pos_2518925_24000,NC_000913.3,2518925,2542925,train,306,OPCID,WT_rep1,WT,1,OPCID_37
WT_rep1__pos_2522700_24000,NC_000913.3,2522700,2546700,train,307,OPCID,WT_rep1,WT,1,OPCID_38
WT_rep1__pos_2531875_24000,NC_000913.3,2531875,2555875,train,308,OPCID,WT_rep1,WT,1,OPCID_39
WT_rep1__pos_2552415_24000,NC_000913.3,2552415,2576415,train,310,OPCID,WT_rep1,WT,1,OPCID_40
WT_rep1__pos_2628260_24000,NC_000913.3,2628260,2652260,train,311,OPCID,WT_rep1,WT,1,OPCID_41
WT_rep1__pos_2638405_24000,NC_000913.3,2638405,2662405,train,312,OPCID,WT_rep1,WT,1,OPCID_42
WT_rep1__pos_2650635_24000,NC_000913.3,2650635,2674635,train,313,OPCID,WT_rep1,WT,1,OPCID_43
WT_rep1__pos_2675760_24000,NC_000913.3,2675760,2699760,val,314,OPCID,WT_rep1,WT,1,OPCID_44
WT_rep1__pos_2697400_24000,NC_000913.3,2697400,2721400,val,315,OPCID,WT_rep1,WT,1,OPCID_45
WT_rep1__pos_2856480_24000,NC_000913.3,2856480,2880480,train,316,OPCID,WT_rep1,WT,1,OPCID_46
WT_rep1__pos_2907995_24000,NC_000913.3,2907995,2931995,train,317,OPCID,WT_rep1,WT,1,OPCID_47
WT_rep1__pos_2929115_24000,NC_000913.3,2929115,2953115,train,318,OPCID,WT_rep1,WT,1,OPCID_48
WT_rep1__pos_2954770_24000,NC_000913.3,2954770,2978770,train,319,OPCID,WT_rep1,WT,1,OPCID_49
WT_rep1__pos_3002260_24000,NC_000913.3,3002260,3026260,train,321,OPCID,WT_rep1,WT,1,OPCID_50
