ID,type,chrom,start,end,center,length_bp,source_sheet,source_row,source_chrom,source_start,source_end,source_center
OPCID_1,OPCID,NC_000913.3,49660,59940,54800,10280,Supplementary Table 4,2,MG1655,49660,59940,
OPCID_2,OPCID,NC_000913.3,87820,93270,90545,5450,Supplementary Table 4,3,MG1655,87820,93270,
OPCID_3,OPCID,NC_000913.3,106140,108980,107560,2840,Supplementary Table 4,4,MG1655,106140,108980,
OPCID_4,OPCID,NC_000913.3,121910,129450,125680,7540,Supplementary Table 4,5,MG1655,121910,129450,
OPCID_5,OPCID,NC_000913.3,182460,184370,183415,1910,Supplementary Table 4,6,MG1655,182460,184370,
OPCID_6,OPCID,NC_000913.3,192730,193950,193340,1220,Supplementary Table 4,7,MG1655,192730,193950,
OPCID_7,OPCID,NC_000913.3,194470,198740,196605,4270,Supplementary Table 4,8,MG1655,194470,198740,
OPCID_8,OPCID,NC_000913.3,199310,201910,200610,2600,Supplementary Table 4,9,MG1655,199310,201910,
OPCID_9,OPCID,NC_000913.3,243140,249010,246075,5870,Supplementary Table 4,10,MG1655,243140,249010,
OPCID_10,OPCID,NC_000913.3,321350,325140,323245,3790,Supplementary Table 4,11,MG1655,321350,325140,
OPCID_11,OPCID,NC_000913.3,426840,441690,434265,14850,Supplementary Table 4,12,MG1655,426840,441690,
OPCID_12,OPCID,NC_000913.3,629820,632900,631360,3080,Supplementary Table 4,13,MG1655,629820,632900,
OPCID_13,OPCID,NC_000913.3,699160,708860,704010,9700,Supplementary Table 4,14,MG1655,699160,708860,
OPCID_14,OPCID,NC_000913.3,762610,765260,763935,2650,Supplementary Table 4,15,MG1655,762610,765260,
OPCID_15,OPCID,NC_000913.3,771270,774550,772910,3280,Supplementary Table 4,16,MG1655,771270,774550,
OPCID_16,OPCID,NC_000913.3,932320,940780,936550,8460,Supplementary Table 4,17,MG1655,932320,940780,
OPCID_17,OPCID,NC_000913.3,950090,955440,952765,5350,Supplementary Table 4,18,MG1655,950090,955440,
OPCID_18,OPCID,NC_000913.3,961460,964210,962835,2750,Supplementary Table 4,19,MG1655,961460,964210,
OPCID_19,OPCID,NC_000913.3,1140560,1145010,1142785,4450,Supplementary Table 4,20,MG1655,1140560,1145010,
OPCID_20,OPCID,NC_000913.3,1186860,1190410,1188635,3550,Supplementary Table 4,21,MG1655,1186860,1190410,
OPCID_21,OPCID,NC_000913.3,1224080,1226150,1225115,2070,Supplementary Table 4,22,MG1655,1224080,1226150,
OPCID_22,OPCID,NC_000913.3,1247430,1251440,1249435,4010,Supplementary Table 4,23,MG1655,1247430,1251440,
OPCID_23,OPCID,NC_000913.3,1295210,1310880,1303045,15670,Supplementary Table 4,24,MG1655,1295210,1310880,
OPCID_24,OPCID,NC_000913.3,1337800,1341950,1339875,4150,Supplementary Table 4,25,MG1655,1337800,1341950,
OPCID_25,OPCID,NC_000913.3,1350060,1357740,1353900,7680,Supplementary Table 4,26,MG1655,1350060,1357740,
OPCID_26,OPCID,NC_000913.3,1666390,1668580,1667485,2190,Supplementary Table 4,27,MG1655,1666390,1668580,
OPCID_27,OPCID,NC_000913.3,1695830,1705800,1700815,9970,Supplementary Table 4,28,MG1655,1695830,1705800,
OPCID_28,OPCID,NC_000913.3,1732990,1737920,1735455,4930,Supplementary Table 4,29,MG1655,1732990,1737920,
OPCID_29,OPCID,NC_000913.3,1741110,1747490,1744300,6380,Supplementary Table 4,30,MG1655,1741110,1747490,
OPCID_30,OPCID,NC_000913.3,1798820,1802930,1800875,4110,Supplementary Table 4,31,MG1655,1798820,1802930,
OPCID_31,OPCID,NC_000913.3,2139120,2147740,2143430,8620,Supplementary Table 4,32,MG1655,2139120,2147740,
