position_id,structure_id,type,chrom,center,start,end,group_id,split,segments
pos_0042800_24000,OPCID_1,OPCID,NC_000913.3,54800,42800,66800,group_0001,test,"[{""start"":42800,""end"":66800}]"
pos_0078545_24000,OPCID_2,OPCID,NC_000913.3,90545,78545,102545,group_0002,train,"[{""start"":78545,""end"":102545}]"
pos_0095560_24000,OPCID_3,OPCID,NC_000913.3,107560,95560,119560,group_0002,train,"[{""start"":95560,""end"":119560}]"
pos_0113680_24000,OPCID_4,OPCID,NC_000913.3,125680,113680,137680,group_0002,train,"[{""start"":113680,""end"":137680}]"
pos_0171415_24000,OPCID_5,OPCID,NC_000913.3,183415,171415,195415,group_0003,test,"[{""start"":171415,""end"":195415}]"
pos_0181340_24000,OPCID_6,OPCID,NC_000913.3,193340,181340,205340,group_0003,test,"[{""start"":181340,""end"":205340}]"
pos_0184605_24000,OPCID_7,OPCID,NC_000913.3,196605,184605,208605,group_0003,test,"[{""start"":184605,""end"":208605}]"
pos_0188610_24000,OPCID_8,OPCID,NC_000913.3,200610,188610,212610,group_0003,test,"[{""start"":188610,""end"":212610}]"
pos_0234075_24000,OPCID_9,OPCID,NC_000913.3,246075,234075,258075,group_0004,train,"[{""start"":234075,""end"":258075}]"
pos_0311245_24000,OPCID_10,OPCID,NC_000913.3,323245,311245,335245,group_0005,train,"[{""start"":311245,""end"":335245}]"
pos_0422265_24000,OPCID_11,OPCID,NC_000913.3,434265,422265,446265,group_0006,train,"[{""start"":422265,""end"":446265}]"
pos_0619360_24000,OPCID_12,OPCID,NC_000913.3,631360,619360,643360,group_0007,test,"[{""start"":619360,""end"":643360}]"
pos_0692010_24000,OPCID_13,OPCID,NC_000913.3,704010,692010,716010,group_0008,val,"[{""start"":692010,""end"":716010}]"
pos_0751935_24000,OPCID_14,OPCID,NC_000913.3,763935,751935,775935,group_0008,val,"[{""start"":751935,""end"":775935}]"
pos_0760910_24000,OPCID_15,OPCID,NC_000913.3,772910,760910,784910,group_0008,val,"[{""start"":760910,""end"":784910}]"
pos_0924550_24000,OPCID_16,OPCID,NC_000913.3,936550,924550,948550,group_0009,train,"[{""start"":924550,""end"":948550}]"
pos_0940765_24000,OPCID_17,OPCID,NC_000913.3,952765,940765,964765,group_0009,train,"[{""start"":940765,""end"":964765}]"
pos_0950835_24000,OPCID_18,OPCID,NC_000913.3,962835,950835,974835,group_0009,train,"[{""start"":950835,""end"":974835}]"
pos_1130785_24000,OPCID_19,OPCID,NC_000913.3,1142785,1130785,1154785,group_0010,train,"[{""start"":1130785,""end"":1154785}]"
pos_1176635_24000,OPCID_20,OPCID,NC_000913.3,1188635,1176635,1200635,group_0011,train,"[{""start"":1176635,""end"":1200635}]"
pos_1213115_24000,OPCID_21,OPCID,NC_000913.3,1225115,1213115,1237115,group_0011,train,"[{""start"":1213115,""end"":1237115}]"
pos_1237435_24000,OPCID_22,OPCID,NC_000913.3,1249435,1237435,1261435,group_0011,train,"[{""start"":1237435,""end"":1261435}]"
pos_1291045_24000,OPCID_23,OPCID,NC_000913.3,1303045,1291045,1315045,group_0012,val,"[{""start"":1291045,""end"":1315045}]"
pos_1327875_24000,OPCID_24,OPCID,NC_000913.3,1339875,1327875,1351875,group_0013,train,"[{""start"":1327875,""end"":1351875}]"
pos_1341900_24000,OPCID_25,OPCID,NC_000913.3,1353900,1341900,1365900,group_0013,train,"[{""start"":1341900,""end"":1365900}]"
pos_1655485_24000,OPCID_26,OPCID,NC_000913.3,1667485,1655485,1679485,group_0014,test,"[{""start"":1655485,""end"":1679485}]"
pos_1688815_24000,OPCID_27,OPCID,NC_000913.3,1700815,1688815,1712815,group_0015,test,"[{""start"":1688815,""end"":1712815}]"
pos_1723455_24000,OPCID_28,OPCID,NC_000913.3,1735455,1723455,1747455,group_0016,train,"[{""start"":1723455,""end"":1747455}]"
pos_1732300_24000,OPCID_29,OPCID,NC_000913.3,1744300,1732300,1756300,group_0016,train,"[{""start"":1732300,""end"":1756300}]"
pos_1788875_24000,OPCID_30,OPCID,NC_000913.3,1800875,1788875,1812875,group_0017,test,"[{""start"":1788875,""end"":1812875}]"
pos_2131430_24000,OPCID_31,OPCID,NC_000913.3,2143430,2131430,2155430,group_0018,val,"[{""start"":2131430,""end"":2155430}]"
pos_2201470_24000,OPCID_32,OPCID,NC_000913.3,2213470,2201470,2225470,group_0019,train,"[{""start"":2201470,""end"":2225470}]"
pos_2249500_24000,OPCID_33,OPCID,NC_000913.3,2261500,2249500,2273500,group_0019,train,"[{""start"":2249500,""end"":2273500}]"
pos_2379205_24000,OPCID_34,OPCID,NC_000913.3,2391205,2379205,2403205,group_0020,val,"[{""start"":2379205,""end"":2403205}]"
pos_2383285_24000,OPCID_35,OPCID,NC_000913.3,2395285,2383285,2407285,group_0020,val,"[{""start"":2383285,""end"":2407285}]"
pos_2429140_24000,OPCID_36,OPCID,NC_000913.3,2441140,2429140,2453140,group_0021,train,"[{""start"":2429140,""end"":2453140}]"
